,times,upward_incident_reserve,downward_incident_reserve,To regulate up,To regulate down,Incentive component,Consume,Feed,Regulation state
0,2021-12-31 23:15:00,0.0,0.0,0.0,-51.9,0,-51.9,-51.9,-1
1,2021-12-31 23:30:00,0.0,0.0,0.0,0.0,0,151.18,151.18,0
2,2021-12-31 23:45:00,0.0,0.0,0.0,84.7,0,84.7,84.7,-1
3,2022-01-01 00:00:00,0.0,0.0,0.0,-75.3,0,-75.3,-75.3,-1
4,2022-01-01 00:15:00,0.0,0.0,0.0,112.66,0,112.66,112.66,-1
5,2022-01-01 00:30:00,0.0,0.0,0.0,0.0,0,151.18,151.18,0
6,2022-01-01 00:45:00,0.0,0.0,0.0,0.0,0,151.18,151.18,0
7,2022-01-01 01:00:00,0.0,0.0,0.0,129.7,0,129.7,129.7,-1
8,2022-01-01 01:15:00,0.0,0.0,174.76,129.7,0,174.76,174.76,1
9,2022-01-01 01:30:00,0.0,0.0,180.76,0.0,0,180.76,180.76,1
10,2022-01-01 01:45:00,0.0,0.0,166.59,122.66,0,166.59,122.66,2
11,2022-01-01 02:00:00,0.0,0.0,0.0,-66.0,0,-66.0,-66.0,-1
12,2022-01-01 02:15:00,0.0,0.0,0.0,-141.2,0,-141.2,-141.2,-1
13,2022-01-01 02:30:00,0.0,0.0,0.0,129.42,0,129.42,129.42,-1
14,2022-01-01 02:45:00,0.0,0.0,0.0,109.42,0,109.42,109.42,-1
15,2022-01-01 03:00:00,0.0,0.0,0.0,-59.61,0,-59.61,-59.61,-1
16,2022-01-01 03:15:00,0.0,0.0,0.0,-8.83,0,-8.83,-8.83,-1
17,2022-01-01 03:30:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
18,2022-01-01 03:45:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
19,2022-01-01 04:00:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
20,2022-01-01 04:15:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
21,2022-01-01 04:30:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
22,2022-01-01 04:45:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
23,2022-01-01 05:00:00,0.0,0.0,0.0,-8.86,0,-8.86,-8.86,-1
24,2022-01-01 05:15:00,0.0,0.0,0.0,-159.41,0,-159.41,-159.41,-1
25,2022-01-01 05:30:00,0.0,0.0,0.0,-129.41,0,-129.41,-129.41,-1
26,2022-01-01 05:45:00,0.0,0.0,0.0,-8.86,0,-8.86,-8.86,-1
27,2022-01-01 06:00:00,0.0,0.0,0.0,70.59,0,70.59,70.59,-1
28,2022-01-01 06:15:00,0.0,0.0,0.0,90.75,0,90.75,90.75,-1
29,2022-01-01 06:30:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
30,2022-01-01 06:45:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
31,2022-01-01 07:00:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
32,2022-01-01 07:15:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
33,2022-01-01 07:30:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
34,2022-01-01 07:45:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
35,2022-01-01 08:00:00,0.0,0.0,0.0,64.66,0,64.66,64.66,-1
36,2022-01-01 08:15:00,0.0,0.0,0.0,85.05,0,85.05,85.05,-1
37,2022-01-01 08:30:00,0.0,0.0,149.42,115.63,0,149.42,115.63,2
38,2022-01-01 08:45:00,0.0,0.0,0.0,-30.44,0,-30.44,-30.44,-1
39,2022-01-01 09:00:00,0.0,0.0,0.0,-41.11,0,-41.11,-41.11,-1
40,2022-01-01 09:15:00,0.0,0.0,0.0,-17.74,0,-17.74,-17.74,-1
41,2022-01-01 09:30:00,0.0,0.0,0.0,-31.71,0,-31.71,-31.71,-1
42,2022-01-01 09:45:00,0.0,0.0,0.0,-87.22,0,-87.22,-87.22,-1
43,2022-01-01 10:00:00,0.0,0.0,0.0,-31.07,0,-31.07,-31.07,-1
44,2022-01-01 10:15:00,0.0,0.0,0.0,-17.66,0,-17.66,-17.66,-1
45,2022-01-01 10:30:00,0.0,0.0,0.0,-31.07,0,-31.07,-31.07,-1
46,2022-01-01 10:45:00,0.0,0.0,0.0,-43.71,0,-43.71,-43.71,-1
47,2022-01-01 11:00:00,0.0,0.0,189.42,99.1,0,189.42,189.42,1
48,2022-01-01 11:15:00,0.0,0.0,189.42,84.74,0,84.74,84.74,-1
49,2022-01-01 11:30:00,0.0,0.0,0.0,69.74,0,69.74,69.74,-1
50,2022-01-01 11:45:00,0.0,0.0,0.0,0.0,0,139.42,139.42,0
