"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"01-01-2024","1","00:00","00:15","","","83,22","-46,72","0","83,22","-46,72","2"
"01-01-2024","2","00:15","00:30","","","76,91","","0","76,91","76,91","1"
"01-01-2024","3","00:30","00:45","","","66,91","","0","66,91","66,91","1"
"01-01-2024","4","00:45","01:00","","","66,91","","0","66,91","66,91","1"
"01-01-2024","5","01:00","01:15","","","81,13","","0","81,13","81,13","1"
"01-01-2024","6","01:15","01:30","","","76,91","-17,8","0","76,91","-17,8","2"
"01-01-2024","7","01:30","01:45","","","82,79","-8,81","0","82,79","-8,81","2"
"01-01-2024","8","01:45","02:00","","","73,68","-26,1","0","73,68","-26,1","2"
"01-01-2024","9","02:00","02:15","","","94,13","-31,85","0","94,13","-31,85","2"
"01-01-2024","10","02:15","02:30","","","73,66","-8,81","0","73,66","73,66","1"
"01-01-2024","11","02:30","02:45","","","","-8,81","0","-8,81","-8,81","-1"
"01-01-2024","12","02:45","03:00","","","87,47","-28,42","0","87,47","-28,42","2"
"01-01-2024","13","03:00","03:15","","","78,11","","0","78,11","78,11","1"
"01-01-2024","14","03:15","03:30","","","64,9","","0","64,9","64,9","1"
"01-01-2024","15","03:30","03:45","","","","-17,8","0","-17,8","-17,8","-1"
"01-01-2024","16","03:45","04:00","","","85,2","-45,33","0","85,2","-45,33","2"
"01-01-2024","17","04:00","04:15","","","104,51","-37,54","0","104,51","-37,54","2"
"01-01-2024","18","04:15","04:30","","","","","0","28,05","28,05","0"
"01-01-2024","19","04:30","04:45","","","79,05","-8,81","0","79,05","-8,81","2"
"01-01-2024","20","04:45","05:00","","","79,05","-8,81","0","-8,81","-8,81","-1"
"01-01-2024","21","05:00","05:15","","","","","0","28,05","28,05","0"
"01-01-2024","22","05:15","05:30","","","","-27,32","0","-27,32","-27,32","-1"
"01-01-2024","23","05:30","05:45","","","","-30,3","0","-30,3","-30,3","-1"
"01-01-2024","24","05:45","06:00","","","","-28,42","0","-28,42","-28,42","-1"
"01-01-2024","25","06:00","06:15","","","70,31","-73,38","0","70,31","-73,38","2"
"01-01-2024","26","06:15","06:30","","","","","0","27,07","27,07","0"
"01-01-2024","27","06:30","06:45","","","77,11","","0","77,11","77,11","1"
"01-01-2024","28","06:45","07:00","","","73,66","","0","73,66","73,66","1"
"01-01-2024","29","07:00","07:15","","","86,13","","0","86,13","86,13","1"
"01-01-2024","30","07:15","07:30","","","62,99","-77,88","0","62,99","-77,88","2"
"01-01-2024","31","07:30","07:45","","","","-29,99","0","-29,99","-29,99","-1"
"01-01-2024","32","07:45","08:00","","","64,32","","0","64,32","64,32","1"
"01-01-2024","33","08:00","08:15","","","64,91","-83,43","0","64,91","-83,43","2"
"01-01-2024","34","08:15","08:30","","","","-55,88","0","-55,88","-55,88","-1"
"01-01-2024","35","08:30","08:45","","","","-60,7","0","-60,7","-60,7","-1"
"01-01-2024","36","08:45","09:00","","","","-166,18","0","-166,18","-166,18","-1"
