"datum","PTE","periode_van","periode_tm","indicatie noodvermogen op","indicatie noodvermogen af","opregelen","Afregelen","prikkelcomponent","Afnemen","invoeden","regeltoestand"
"01-01-2023","1","00:00","00:15","","","","-209,4","0","-209,4","-209,4","-1"
"01-01-2023","2","00:15","00:30","","","","-23,3","0","-23,3","-23,3","-1"
"01-01-2023","3","00:30","00:45","","","","-25,62","0","-25,62","-25,62","-1"
"01-01-2023","4","00:45","01:00","","","","-40,62","0","-40,62","-40,62","-1"
"01-01-2023","5","01:00","01:15","","","32,78","-40,62","0","32,78","32,78","1"
"01-01-2023","6","01:15","01:30","","","35,06","","0","35,06","35,06","1"
"01-01-2023","7","01:30","01:45","","","30","","0","30","30","1"
"01-01-2023","8","01:45","02:00","","","30","","0","30","30","1"
"01-01-2023","9","02:00","02:15","","","30","","0","30","30","1"
"01-01-2023","10","02:15","02:30","","","30","","0","30","30","1"
"01-01-2023","11","02:30","02:45","","","30","","0","30","30","1"
"01-01-2023","12","02:45","03:00","","","","-10,46","0","-10,46","-10,46","-1"
"01-01-2023","13","03:00","03:15","","","","-23,07","0","-23,07","-23,07","-1"
"01-01-2023","14","03:15","03:30","","","","-14,19","0","-14,19","-14,19","-1"
"01-01-2023","15","03:30","03:45","","","","-27,69","0","-27,69","-27,69","-1"
"01-01-2023","16","03:45","04:00","","","","-20,19","0","-20,19","-20,19","-1"
"01-01-2023","17","04:00","04:15","","","","-21,47","0","-21,47","-21,47","-1"
"01-01-2023","18","04:15","04:30","","","","-22,27","0","-22,27","-22,27","-1"
"01-01-2023","19","04:30","04:45","","","","-21,18","0","-21,18","-21,18","-1"
"01-01-2023","20","04:45","05:00","","","","-31,62","0","-31,62","-31,62","-1"
"01-01-2023","21","05:00","05:15","","","","-44,67","0","-44,67","-44,67","-1"
"01-01-2023","22","05:15","05:30","","","","-30,93","0","-30,93","-30,93","-1"
"01-01-2023","23","05:30","05:45","","","","-20,66","0","-20,66","-20,66","-1"
"01-01-2023","24","05:45","06:00","","","","-20,64","0","-20,64","-20,64","-1"
"01-01-2023","25","06:00","06:15","","","","-36,91","0","-36,91","-36,91","-1"
"01-01-2023","26","06:15","06:30","","","","-14,85","0","-14,85","-14,85","-1"
"01-01-2023","27","06:30","06:45","","","","-10,62","0","-10,62","-10,62","-1"
"01-01-2023","28","06:45","07:00","","","","-357,5","0","-357,5","-357,5","-1"
"01-01-2023","29","07:00","07:15","","","","-301,67","0","-301,67","-301,67","-1"
"01-01-2023","30","07:15","07:30","","","","-147,94","0","-147,94","-147,94","-1"
"01-01-2023","31","07:30","07:45","","","","-59,18","0","-59,18","-59,18","-1"
"01-01-2023","32","07:45","08:00","","","","-54,1","0","-54,1","-54,1","-1"
"01-01-2023","33","08:00","08:15","","","","-131,81","0","-131,81","-131,81","-1"
"01-01-2023","34","08:15","08:30","","","","-45,19","0","-45,19","-45,19","-1"
"01-01-2023","35","08:30","08:45","","","","-27,69","0","-27,69","-27,69","-1"
"01-01-2023","36","08:45","09:00","","","","-36,69","0","-36,69","-36,69","-1"
"01-01-2023","37","09:00","09:15","","","","-183,89","0","-183,89","-183,89","-1"
"01-01-2023","38","09:15","09:30","","","","-20,97","0","-20,97","-20,97","-1"
"01-01-2023","39","09:30","09:45","","","","-10,62","0","-10,62","-10,62","-1"
"01-01-2023","40","09:45","10:00","","","","-15,62","0","-15,62","-15,62","-1"
